Charge Type,Charge Description,row_count,total_value,Major Category,Subcategory,Method
"* NMFC UNKNOWN, TARIFF ITEM 170 SUB 13 50 561 37.20","* NMFC UNKNOWN, TARIFF ITEM 170 SUB 13 50 561 37.20",1,208.69,Other / Uncategorized,Unclassified,none
002650 CALIFORNIA COMPLIANCE,002650 CALIFORNIA COMPLIANCE,1,26.5,Other / Uncategorized,Unclassified,none
008422,008422,1,84.22,Other / Uncategorized,Unclassified,none
056590-04 (CL175) CLASS 175.0 (EX175) 144 EX175 77040,056590-04 (CL175) CLASS 175.0 (EX175) 144 EX175 77040,1,1109.38,Other / Uncategorized,Unclassified,none
056590-04 (CL175) CLASS 175.0 (EX175) 392 EX175 84337,056590-04 (CL175) CLASS 175.0 (EX175) 392 EX175 84337,1,3306.01,Other / Uncategorized,Unclassified,none
1 DIVISION 1.4; LIMITED QUANTITY L: 48 W: 40 H: 48 IN 64300-2 322 64.83,1 DIVISION 1.4; LIMITED QUANTITY L: 48 W: 40 H: 48 IN 64300-2 322 64.83,1,208.75,Other / Uncategorized,Unclassified,none
1 Each Extreme Length $175.00,1 Each Extreme Length $175.00,1,175.0,Other / Uncategorized,Unclassified,none
1 SKD CONTROL VALVE CLASS 70 156 M,1 SKD CONTROL VALVE CLASS 70 156 M,1,1190.52,Other / Uncategorized,Unclassified,none
175.0 48.0 X 1.0 X 1.0 (EX175) 135 EX175 66803,175.0 48.0 X 1.0 X 1.0 (EX175) 135 EX175 66803,1,901.84,Other / Uncategorized,Unclassified,none
2 DIVISION 1.4; LIMITED QUANTITY L: 48 W: 40 H: 48 IN 64300-2 6;760 9.84,2 DIVISION 1.4; LIMITED QUANTITY L: 48 W: 40 H: 48 IN 64300-2 6;760 9.84,1,665.18,Other / Uncategorized,Unclassified,none
* NMFC 133300-03 MACHINERY; NOI; OR 125 281 MIN,* NMFC 133300-03 MACHINERY; NOI; OR 125 281 MIN,1,173.02,Other / Uncategorized,Unclassified,none
20   x 20   x 12   box,20   x 20   x 12   box,1,9.5,Other / Uncategorized,Unclassified,none
26 26 SKIDS 999,26 26 SKIDS 999,1,515.0,Other / Uncategorized,Unclassified,none
27.0 235 87215,27.0 235 87215,1,2049.55,Other / Uncategorized,Unclassified,none
3 SKD DIGITAL CABLE MODEMS (640 SAX; 384 100 CLASS 100 FAK 1;758 22.51,3 SKD DIGITAL CABLE MODEMS (640 SAX; 384 100 CLASS 100 FAK 1;758 22.51,1,395.73,Other / Uncategorized,Unclassified,none
32X24X16 IT-62070-1 CL70 70 601 37.20,32X24X16 IT-62070-1 CL70 70 601 37.20,1,223.57,Other / Uncategorized,Unclassified,none
38 38 SHUTTLE TO BELIMO 2600,38 38 SHUTTLE TO BELIMO 2600,1,515.0,Other / Uncategorized,Unclassified,none
40.0 X 20.0 (EX175) 88 EX175 77588,40.0 X 20.0 (EX175) 88 EX175 77588,1,682.77,Other / Uncategorized,Unclassified,none
40.0 X 36.0 (EX175) 136 EX175 77588,40.0 X 36.0 (EX175) 136 EX175 77588,1,1055.2,Other / Uncategorized,Unclassified,none
40X24X28IN 70 276 MIN,40X24X28IN 70 276 MIN,1,173.02,Other / Uncategorized,Unclassified,none
* NMFC 133300-03 MACHINERY; NOI; OR 125 330 MIN,* NMFC 133300-03 MACHINERY; NOI; OR 125 330 MIN,1,173.02,Other / Uncategorized,Unclassified,none
* NMFC 133300-03 MACHINERY; NOI; OR 125 252 MIN,* NMFC 133300-03 MACHINERY; NOI; OR 125 252 MIN,1,173.02,Other / Uncategorized,Unclassified,none
(EX175) 96 EX175 90538,(EX175) 96 EX175 90538,1,869.16,Other / Uncategorized,Unclassified,none
* NMFC 133300-02 MACHINERY; NOI; OR 250 292 MIN,* NMFC 133300-02 MACHINERY; NOI; OR 250 292 MIN,1,158.29,Other / Uncategorized,Unclassified,none
(EX175) 97 EX175 84977,(EX175) 97 EX175 84977,1,824.28,Other / Uncategorized,Unclassified,none
(EX175) 99 EX175 76639,(EX175) 99 EX175 76639,1,758.73,Other / Uncategorized,Unclassified,none
* NMFC 061700-03 ELECTRICAL APPLIANCE 250 169 MIN,* NMFC 061700-03 ELECTRICAL APPLIANCE 250 169 MIN,1,173.02,Other / Uncategorized,Unclassified,none
"* NMFC 133300-02 MACHINERY, NOI, OR 250 375 71.02","* NMFC 133300-02 MACHINERY, NOI, OR 250 375 71.02",1,266.33,Other / Uncategorized,Unclassified,none
* NMFC 133300-02 MACHINERY; NOI; OR 250 141 MIN,* NMFC 133300-02 MACHINERY; NOI; OR 250 141 MIN,1,173.02,Other / Uncategorized,Unclassified,none
* NMFC 133300-02 MACHINERY; NOI; OR 250 150 MIN,* NMFC 133300-02 MACHINERY; NOI; OR 250 150 MIN,1,173.02,Other / Uncategorized,Unclassified,none
* NMFC 133300-02 MACHINERY; NOI; OR 250 207 MIN,* NMFC 133300-02 MACHINERY; NOI; OR 250 207 MIN,1,173.02,Other / Uncategorized,Unclassified,none
* NMFC 133300-02 MACHINERY; NOI; OR 250 210 MIN,* NMFC 133300-02 MACHINERY; NOI; OR 250 210 MIN,1,173.02,Other / Uncategorized,Unclassified,none
* NMFC 133300-02 MACHINERY; NOI; OR 250 220 MIN,* NMFC 133300-02 MACHINERY; NOI; OR 250 220 MIN,1,173.02,Other / Uncategorized,Unclassified,none
* NMFC 133300-02 MACHINERY; NOI; OR 250 3334 30.63,* NMFC 133300-02 MACHINERY; NOI; OR 250 3334 30.63,1,1021.2,Other / Uncategorized,Unclassified,none
* NMFC 133300-03 MACHINERY; NOI; OR 125 214 MIN,* NMFC 133300-03 MACHINERY; NOI; OR 125 214 MIN,1,158.29,Other / Uncategorized,Unclassified,none
* NMFC 133300-02 MACHINERY; NOI; OR 250 380 48.16,* NMFC 133300-02 MACHINERY; NOI; OR 250 380 48.16,1,183.01,Other / Uncategorized,Unclassified,none
* NMFC 133300-02 MACHINERY; NOI; OR 250 460 46.46,* NMFC 133300-02 MACHINERY; NOI; OR 250 460 46.46,1,213.72,Other / Uncategorized,Unclassified,none
"* NMFC 133300-03 MACHINERY, NOI, OR 125 294 MIN","* NMFC 133300-03 MACHINERY, NOI, OR 125 294 MIN",1,254.09,Other / Uncategorized,Unclassified,none
* NMFC 133300-03 MACHINERY; NOI; OR 125 100 MIN,* NMFC 133300-03 MACHINERY; NOI; OR 125 100 MIN,1,158.29,Other / Uncategorized,Unclassified,none
* NMFC 133300-03 MACHINERY; NOI; OR 125 105 MIN,* NMFC 133300-03 MACHINERY; NOI; OR 125 105 MIN,1,158.29,Other / Uncategorized,Unclassified,none
* NMFC 133300-03 MACHINERY; NOI; OR 125 120 MIN,* NMFC 133300-03 MACHINERY; NOI; OR 125 120 MIN,1,173.02,Other / Uncategorized,Unclassified,none
* NMFC 133300-03 MACHINERY; NOI; OR 125 163 MIN,* NMFC 133300-03 MACHINERY; NOI; OR 125 163 MIN,1,173.02,Other / Uncategorized,Unclassified,none
* NMFC 133300-03 MACHINERY; NOI; OR 125 1655 34.77,* NMFC 133300-03 MACHINERY; NOI; OR 125 1655 34.77,1,575.44,Other / Uncategorized,Unclassified,none
* NMFC 133300-03 MACHINERY; NOI; OR 125 212 MIN,* NMFC 133300-03 MACHINERY; NOI; OR 125 212 MIN,1,173.02,Other / Uncategorized,Unclassified,none
CL60 60 685 26.74,CL60 60 685 26.74,1,183.17,Other / Uncategorized,Unclassified,none
CL60 60 693 33.56,CL60 60 693 33.56,1,232.57,Other / Uncategorized,Unclassified,none
CL60 60 695 33.56,CL60 60 695 33.56,1,233.24,Other / Uncategorized,Unclassified,none
MEDICAL DEVICES CLASS 175.0 (EX175) 326 EX175 25535,MEDICAL DEVICES CLASS 175.0 (EX175) 326 EX175 25535,1,832.44,Other / Uncategorized,Unclassified,none
Late Fee,Late Fee,1,400.68,Other / Uncategorized,Unclassified,none
Lifeguard Service,Lifeguard Service,1,105.0,Other / Uncategorized,Unclassified,none
Liftgate DL,Liftgate DL,1,50.0,Other / Uncategorized,Unclassified,none
Liftgate PU,Liftgate PU,1,50.0,Other / Uncategorized,Unclassified,none
MACHINES; NMFC# 116030-4,MACHINES; NMFC# 116030-4,1,219.69,Other / Uncategorized,Unclassified,none
MCADJ ADJ CONTRACT MINIMUM REACHED,MCADJ ADJ CONTRACT MINIMUM REACHED,1,2.88,Other / Uncategorized,Unclassified,none
MCADJ CONTRACT MINIMUM REACHED ADJ,MCADJ CONTRACT MINIMUM REACHED ADJ,1,5.66,Other / Uncategorized,Unclassified,none
MEDICAL DEVICES CLASS 125.0 48.0 X 40.0 X 42.0 (EX175) 181 EX175 32607,MEDICAL DEVICES CLASS 125.0 48.0 X 40.0 X 42.0 (EX175) 181 EX175 32607,1,590.19,Other / Uncategorized,Unclassified,none
MEDICAL DEVICES CLASS 175.0 (EX175) 184 EX175 21592,MEDICAL DEVICES CLASS 175.0 (EX175) 184 EX175 21592,1,397.29,Other / Uncategorized,Unclassified,none
MEDICAL DEVICES CLASS 175.0 48.0 X 1.0 X 1.0 (EX175) 488 EX175 21592,MEDICAL DEVICES CLASS 175.0 48.0 X 1.0 X 1.0 (EX175) 488 EX175 21592,1,1053.69,Other / Uncategorized,Unclassified,none
LOADING,LOADING,1,95.0,Other / Uncategorized,Unclassified,none
MEDICAL DEVICES CLASS 175.0 48.0 X 42.0 X 50.0 (EX175) 296 EX175 51808,MEDICAL DEVICES CLASS 175.0 48.0 X 42.0 X 50.0 (EX175) 296 EX175 51808,1,1533.52,Other / Uncategorized,Unclassified,none
MEDICAL DEVICES CLASS 175.0 48.0 X 42.0 X 61.0 658 14745,MEDICAL DEVICES CLASS 175.0 48.0 X 42.0 X 61.0 658 14745,1,970.22,Other / Uncategorized,Unclassified,none
MEDICAL DEVICES CLASS 175.0 48.0 X 42.0 X 62.0 (EX175) 408 EX175 77040,MEDICAL DEVICES CLASS 175.0 48.0 X 42.0 X 62.0 (EX175) 408 EX175 77040,1,3143.23,Other / Uncategorized,Unclassified,none
MEDICAL DEVICES CLASS 92;5 51.0 X 1.0 X 1.0 545 13695,MEDICAL DEVICES CLASS 92;5 51.0 X 1.0 X 1.0 545 13695,1,746.38,Other / Uncategorized,Unclassified,none
MEDICAL DEVICES NMFC 056590 CLASS 100.0 48.0 X 40.0 X 27.0 122 32391,MEDICAL DEVICES NMFC 056590 CLASS 100.0 48.0 X 40.0 X 27.0 122 32391,1,395.17,Other / Uncategorized,Unclassified,none
MEDICAL DEVICES NMFC 056590 CLASS 200.0 48.0 X 42.0 X 50.0 281 76639,MEDICAL DEVICES NMFC 056590 CLASS 200.0 48.0 X 42.0 X 50.0 281 76639,1,2153.56,Other / Uncategorized,Unclassified,none
MEDICAL SUPPLIES 9880 Flat rate 1 1435.00,MEDICAL SUPPLIES 9880 Flat rate 1 1435.00,1,1435.0,Other / Uncategorized,Unclassified,none
METAL PRODUCTS 50 1182 20.54,METAL PRODUCTS 50 1182 20.54,1,242.78,Other / Uncategorized,Unclassified,none
METAL PRODUCTS 50 2902 17.31,METAL PRODUCTS 50 2902 17.31,1,502.34,Other / Uncategorized,Unclassified,none
Laadklep,Laadklep,1,75.0,Other / Uncategorized,Unclassified,none
LIFTGATE FEE ,LIFTGATE FEE ,1,25.0,Other / Uncategorized,Unclassified,none
METAL STAMPING 50 1000 MIN,METAL STAMPING 50 1000 MIN,1,118.25,Other / Uncategorized,Unclassified,none
ITEM 161870 PRINTED,ITEM 161870 PRINTED,1,237.65,Other / Uncategorized,Unclassified,none
ITEM 056590-04 (CL175) CLASS 175.0 48.0 X 40.0 X 64.0 (EX175) 356 EX175 90631,ITEM 056590-04 (CL175) CLASS 175.0 48.0 X 40.0 X 64.0 (EX175) 356 EX175 90631,1,3226.46,Other / Uncategorized,Unclassified,none
ITEM 056590-04 (CL175) CLASS 175.0 48.0 X 42.0 X 50.0 (EX175) 271 EX175 90631,ITEM 056590-04 (CL175) CLASS 175.0 48.0 X 42.0 X 50.0 (EX175) 271 EX175 90631,1,2456.1,Other / Uncategorized,Unclassified,none
ITEM 056590-04 (CL175) CLASS 175.0 48.0 X 42.0 X 51.0 (EX175) 252 EX175 78587,ITEM 056590-04 (CL175) CLASS 175.0 48.0 X 42.0 X 51.0 (EX175) 252 EX175 78587,1,1980.39,Other / Uncategorized,Unclassified,none
ITEM 056590-04 (CL175) CLASS 175.0 48.0 X 42.0 X 52.0 (EX175) 293 EX175 57337,ITEM 056590-04 (CL175) CLASS 175.0 48.0 X 42.0 X 52.0 (EX175) 293 EX175 57337,1,1679.97,Other / Uncategorized,Unclassified,none
ITEM 056590-04 (CL175) CLASS 175.0 48.0 X 42.0 X 66.0 (EX175) 371 EX175 56272,ITEM 056590-04 (CL175) CLASS 175.0 48.0 X 42.0 X 66.0 (EX175) 371 EX175 56272,1,2087.69,Other / Uncategorized,Unclassified,none
ITEM 056590-05 (CL125) CLASS 125.0 (EX175) 226 EX175 62092,ITEM 056590-05 (CL125) CLASS 125.0 (EX175) 226 EX175 62092,1,1403.28,Other / Uncategorized,Unclassified,none
ITEM 116030 SUB : 4 MACHINES SYSTEMS ORC100 ;,ITEM 116030 SUB : 4 MACHINES SYSTEMS ORC100 ;,1,391.47,Other / Uncategorized,Unclassified,none
ITEM 116030 SUB : 7 TELEPHONE,ITEM 116030 SUB : 7 TELEPHONE,1,234.69,Other / Uncategorized,Unclassified,none
"ITEM 116030 SUB:4 SYSTEMS,MACHINES","ITEM 116030 SUB:4 SYSTEMS,MACHINES",1,350.79,Other / Uncategorized,Unclassified,none
ITM 290;101 APPLIES PER PYLE RULES TARF 85 4682 45.57,ITM 290;101 APPLIES PER PYLE RULES TARF 85 4682 45.57,1,2133.59,Other / Uncategorized,Unclassified,none
LIFT ON LIFT OFF,LIFT ON LIFT OFF,1,52.0,Other / Uncategorized,Unclassified,none
ITM 290;101 APPLIES PER PYLE RULES TARF 85 5104 45.57,ITM 290;101 APPLIES PER PYLE RULES TARF 85 5104 45.57,1,2325.89,Other / Uncategorized,Unclassified,none
IVA,IVA,1,16.98,Other / Uncategorized,Unclassified,none
Indv Pcs 1,Indv Pcs 1,1,417.58,Other / Uncategorized,Unclassified,none
Inside DL,Inside DL,1,30.0,Other / Uncategorized,Unclassified,none
Inside PU,Inside PU,1,58.6,Other / Uncategorized,Unclassified,none
LABEL SPOOL CONES 70 90 MIN,LABEL SPOOL CONES 70 90 MIN,1,118.25,Other / Uncategorized,Unclassified,none
LABELS,LABELS,1,139.91,Other / Uncategorized,Unclassified,none
LAYOVER FEE,LAYOVER FEE,1,4950.0,Other / Uncategorized,Unclassified,none
LEGES KVK bh3j2648m7,LEGES KVK bh3j2648m7,1,17.7,Other / Uncategorized,Unclassified,none
METAL PRODUCTS 50 430 26.77,METAL PRODUCTS 50 430 26.77,1,115.11,Other / Uncategorized,Unclassified,none
METAL STAMPING 50 650 MIN,METAL STAMPING 50 650 MIN,1,118.25,Other / Uncategorized,Unclassified,none
ITEM 030310 SUB : 2 CABLE OR WIRE,ITEM 030310 SUB : 2 CABLE OR WIRE,1,275.42,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 1416 24.79 Faucets; Bibcocks; ...,NMFC 051080-05 70 1416 24.79 Faucets; Bibcocks; ...,1,351.03,Other / Uncategorized,Unclassified,none
NMFC 051080-03 Faucets; Bibcocks; 70 445 MIN,NMFC 051080-03 Faucets; Bibcocks; 70 445 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 100 MIN Faucets; Bibcocks;,NMFC 051080-05 70 100 MIN Faucets; Bibcocks;,1,173.02,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 100 MIN Faucets; Bibcocks; ...,NMFC 051080-05 70 100 MIN Faucets; Bibcocks; ...,1,173.02,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 115 MIN Faucets; Bibcocks;,NMFC 051080-05 70 115 MIN Faucets; Bibcocks;,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 119 MIN Faucets; Bibcocks;,NMFC 051080-05 70 119 MIN Faucets; Bibcocks;,1,173.02,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 124 MIN Faucets; Bibcocks; ...,NMFC 051080-05 70 124 MIN Faucets; Bibcocks; ...,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 132 MIN Faucets; Bibcocks;,NMFC 051080-05 70 132 MIN Faucets; Bibcocks;,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 132 MIN Faucets; Bibcocks; ...,NMFC 051080-05 70 132 MIN Faucets; Bibcocks; ...,1,173.02,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 140 MIN Faucets; Bibcocks;,NMFC 051080-05 70 140 MIN Faucets; Bibcocks;,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 1455 27.83 Faucets; Bibcocks;,NMFC 051080-05 70 1455 27.83 Faucets; Bibcocks;,1,404.93,Other / Uncategorized,Unclassified,none
NMFC 051080- 60 60 MIN Faucets; Bibcocks;,NMFC 051080- 60 60 MIN Faucets; Bibcocks;,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 150 MIN Faucets; Bibcocks;,NMFC 051080-05 70 150 MIN Faucets; Bibcocks;,1,173.02,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 155 MIN Faucets; Bibcocks; ...,NMFC 051080-05 70 155 MIN Faucets; Bibcocks; ...,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 160 MIN,NMFC 051080-05 70 160 MIN,1,158.29,Other / Uncategorized,Unclassified,none
"NMFC 051080-05 70 165 MIN Faucets, Bibcocks, ...","NMFC 051080-05 70 165 MIN Faucets, Bibcocks, ...",1,118.25,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 167 MIN Faucets; Bibcocks;,NMFC 051080-05 70 167 MIN Faucets; Bibcocks;,1,173.02,Other / Uncategorized,Unclassified,none
"NMFC 051080-05 70 170 MIN Faucets, Bibcocks, ...","NMFC 051080-05 70 170 MIN Faucets, Bibcocks, ...",1,118.25,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 170 MIN Faucets; Bibcocks;,NMFC 051080-05 70 170 MIN Faucets; Bibcocks;,1,173.02,Other / Uncategorized,Unclassified,none
"NMFC 051080-05 70 175 MIN Faucets, Bibcocks,","NMFC 051080-05 70 175 MIN Faucets, Bibcocks,",1,173.02,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 1803 30.85 Faucets; Bibcocks; ...,NMFC 051080-05 70 1803 30.85 Faucets; Bibcocks; ...,1,556.23,Other / Uncategorized,Unclassified,none
NMFC 051080- 70 282 MIN Faucets; Bibcocks;,NMFC 051080- 70 282 MIN Faucets; Bibcocks;,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 029785-05 O * 125 250 MIN BOXES; FIBREBOARD;,NMFC 029785-05 O * 125 250 MIN BOXES; FIBREBOARD;,1,118.25,Other / Uncategorized,Unclassified,none
METAL STAMPINGS 50 300 MIN,METAL STAMPINGS 50 300 MIN,1,118.25,Other / Uncategorized,Unclassified,none
Malr Smrt 14.25 X 19.25,Malr Smrt 14.25 X 19.25,1,6.98,Other / Uncategorized,Unclassified,none
METAL STAMPINGS 50 350 MIN,METAL STAMPINGS 50 350 MIN,1,118.25,Other / Uncategorized,Unclassified,none
(EX175) 103 EX175 84977,(EX175) 103 EX175 84977,1,875.26,Other / Uncategorized,Unclassified,none
METAL STAMPINGS 50 600 MIN,METAL STAMPINGS 50 600 MIN,1,118.25,Other / Uncategorized,Unclassified,none
METAL STAMPINGS 50 650 11.07,METAL STAMPINGS 50 650 11.07,1,71.96,Other / Uncategorized,Unclassified,none
METAL STAMPINGS 50 815 MIN,METAL STAMPINGS 50 815 MIN,1,118.25,Other / Uncategorized,Unclassified,none
METAL STAMPINGS 50 820 11.07,METAL STAMPINGS 50 820 11.07,1,90.77,Other / Uncategorized,Unclassified,none
MINIMUM REACHED CONTRACT MCADJ ADJ,MINIMUM REACHED CONTRACT MCADJ ADJ,1,124.19,Other / Uncategorized,Unclassified,none
Mailr Smart 12.5x18,Mailr Smart 12.5x18,1,17.94,Other / Uncategorized,Unclassified,none
MailrRyc 8.25x11 1Ct,MailrRyc 8.25x11 1Ct,1,2.29,Other / Uncategorized,Unclassified,none
Metro 1 Each $23.95,Metro 1 Each $23.95,1,23.95,Other / Uncategorized,Unclassified,none
NMFC 029785-04 O * 175 450 36.04 BOXES; FIBREBOARD;,NMFC 029785-04 O * 175 450 36.04 BOXES; FIBREBOARD;,1,162.18,Other / Uncategorized,Unclassified,none
Monitor 24x18x18,Monitor 24x18x18,1,24.21,Other / Uncategorized,Unclassified,none
NL-Buit,NL-Buit,1,1.05,Other / Uncategorized,Unclassified,none
NMFC 013120-06 100 535 29.04,NMFC 013120-06 100 535 29.04,1,155.36,Other / Uncategorized,Unclassified,none
NMFC 013120-07 Aluminum 92.5 466 MIN Articles;,NMFC 013120-07 Aluminum 92.5 466 MIN Articles;,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 013120-07 Aluminum 92.5 480 MIN Articles;,NMFC 013120-07 Aluminum 92.5 480 MIN Articles;,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 013120-08 Aluminum Articles; 85 233 MIN,NMFC 013120-08 Aluminum Articles; 85 233 MIN,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 029785-03 250 175 MIN,NMFC 029785-03 250 175 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 029785-03 250 285 42.13,NMFC 029785-03 250 285 42.13,1,120.07,Other / Uncategorized,Unclassified,none
NMFC 029785-03 BOXES; FIBREBOARD; o * 250 112 MIN,NMFC 029785-03 BOXES; FIBREBOARD; o * 250 112 MIN,1,118.25,Other / Uncategorized,Unclassified,none
ITEM 056590-03 (CL250) CLASS 250.0 48.0 X 40.0 X 24.0 (EX175) 79 EX175 54826,ITEM 056590-03 (CL250) CLASS 250.0 48.0 X 40.0 X 24.0 (EX175) 79 EX175 54826,1,433.13,Other / Uncategorized,Unclassified,none
IT30310 CABLE OR WIRE,IT30310 CABLE OR WIRE,1,251.99,Other / Uncategorized,Unclassified,none
CL60 60 735 26.74,CL60 60 735 26.74,1,196.54,Other / Uncategorized,Unclassified,none
DN 611,DN 611,1,9169.84,Other / Uncategorized,Unclassified,none
DETENTION 307PM-330PM,DETENTION 307PM-330PM,1,46.0,Other / Uncategorized,Unclassified,none
DETENTION BELIMO 1043AM-1156AM,DETENTION BELIMO 1043AM-1156AM,1,120.0,Other / Uncategorized,Unclassified,none
DETENTION BELIMO 844AM-1101AM,DETENTION BELIMO 844AM-1101AM,1,274.0,Other / Uncategorized,Unclassified,none
DETENTION SHEPARDS 127PM-339PM,DETENTION SHEPARDS 127PM-339PM,1,240.0,Other / Uncategorized,Unclassified,none
DETENTION WITH POWER,DETENTION WITH POWER,1,97.0,Other / Uncategorized,Unclassified,none
DIGITAL CABLE COMPONENTS NMFC# 061130,DIGITAL CABLE COMPONENTS NMFC# 061130,1,191.57,Other / Uncategorized,Unclassified,none
DIGITAL CABLE MODEMS,DIGITAL CABLE MODEMS,1,4742.75,Other / Uncategorized,Unclassified,none
DIGITAL CABLE NMFC# 061130 S3,DIGITAL CABLE NMFC# 061130 S3,1,263.95,Other / Uncategorized,Unclassified,none
DISPUTE WON- PER KRISTEN,DISPUTE WON- PER KRISTEN,1,196.11,Other / Uncategorized,Unclassified,none
DRAYAGE (LOADED),DRAYAGE (LOADED),1,575.0,Other / Uncategorized,Unclassified,none
DEFICIT WGHT 50 320 FLAT,DEFICIT WGHT 50 320 FLAT,1,575.65,Other / Uncategorized,Unclassified,none
DRIVER DETENTION AT ORIGIN DETNO,DRIVER DETENTION AT ORIGIN DETNO,1,95.0,Other / Uncategorized,Unclassified,none
DWD DEST DETENTION WITH POWER,DWD DEST DETENTION WITH POWER,1,72.25,Other / Uncategorized,Unclassified,none
ECT EMPTY RETUN SLOT,ECT EMPTY RETUN SLOT,1,38.0,Other / Uncategorized,Unclassified,none
EDI Fee,EDI Fee,1,5.25,Other / Uncategorized,Unclassified,none
EIR & SEAL FEE,EIR & SEAL FEE,1,15.0,Other / Uncategorized,Unclassified,none
ETS Toeslag,ETS Toeslag,1,1.27,Other / Uncategorized,Unclassified,none
EX175 MEDICAL DEVICES CLASS 175.0 (EX175) 133 25535,EX175 MEDICAL DEVICES CLASS 175.0 (EX175) 133 25535,1,339.62,Other / Uncategorized,Unclassified,none
EXTRASTOP,EXTRASTOP,1,75.0,Other / Uncategorized,Unclassified,none
FSC - ADDER,FSC - ADDER,1,95.36,Other / Uncategorized,Unclassified,none
DENSITY 1 Each $1;906.07,DENSITY 1 Each $1;906.07,1,1906.07,Other / Uncategorized,Unclassified,none
DEFICIT DEF93 62092,DEFICIT DEF93 62092,1,577.46,Other / Uncategorized,Unclassified,none
Faucets; Bibcocks; Gate Valves or 070 540 70103,Faucets; Bibcocks; Gate Valves or 070 540 70103,1,3785.56,Other / Uncategorized,Unclassified,none
CRT VALVES I&S OR NP IT-51080-7 60 5275 18.37,CRT VALVES I&S OR NP IT-51080-7 60 5275 18.37,1,969.02,Other / Uncategorized,Unclassified,none
CL60 60 995 26.74,CL60 60 995 26.74,1,266.06,Other / Uncategorized,Unclassified,none
CL70 32X24X15 70 190 37.20,CL70 32X24X15 70 190 37.20,1,70.68,Other / Uncategorized,Unclassified,none
CLASS 85.0 48.0 X 42.0 X 53.0 (EX85) 815 EX85 30216,CLASS 85.0 48.0 X 42.0 X 53.0 (EX85) 815 EX85 30216,1,2462.6,Other / Uncategorized,Unclassified,none
CONTRACT REACHED MCADJ MINIMUM ADJ,CONTRACT REACHED MCADJ MINIMUM ADJ,1,34.22,Other / Uncategorized,Unclassified,none
CONTRAPRESTACIONCNT,CONTRAPRESTACIONCNT,1,1.14,Other / Uncategorized,Unclassified,none
CONTROL VALVE 70 210 MIN,CONTROL VALVE 70 210 MIN,1,173.02,Other / Uncategorized,Unclassified,none
CONTROL VALVES *FXF 100001/05/26 ILC 04245,CONTROL VALVES *FXF 100001/05/26 ILC 04245,1,1036.04,Other / Uncategorized,Unclassified,none
CRATES 70 250 MIN (WOODEN),CRATES 70 250 MIN (WOODEN),1,158.29,Other / Uncategorized,Unclassified,none
CRT VALVES I&S OR NP IT-51080-7 60 1911 23.51,CRT VALVES I&S OR NP IT-51080-7 60 1911 23.51,1,449.28,Other / Uncategorized,Unclassified,none
CRTS VALVES I/S IT-51080-7 CL 85 & 85 9809 15.43,CRTS VALVES I/S IT-51080-7 CL 85 & 85 9809 15.43,1,1513.53,Other / Uncategorized,Unclassified,none
DEFICIT DEF78 84337,DEFICIT DEF78 84337,1,657.83,Other / Uncategorized,Unclassified,none
CVO bh3j2648m7,CVO bh3j2648m7,1,52.2,Other / Uncategorized,Unclassified,none
Courier/Messenger/(In case is needed),Courier/Messenger/(In case is needed),1,85.0,Other / Uncategorized,Unclassified,none
D/O FEE E,D/O FEE E,1,79.31,Other / Uncategorized,Unclassified,none
DAD,DAD,1,45.0,Other / Uncategorized,Unclassified,none
DEFICIT DEF114 11505,DEFICIT DEF114 11505,1,131.16,Other / Uncategorized,Unclassified,none
DEFICIT DEF130 110322,DEFICIT DEF130 110322,1,1434.19,Other / Uncategorized,Unclassified,none
DEFICIT DEF185 30216,DEFICIT DEF185 30216,1,559.0,Other / Uncategorized,Unclassified,none
DEFICIT DEF32 32607,DEFICIT DEF32 32607,1,104.34,Other / Uncategorized,Unclassified,none
DEFICIT DEF50 66803,DEFICIT DEF50 66803,1,334.02,Other / Uncategorized,Unclassified,none
FSC-ADDER,FSC-ADDER,1,98.1,Other / Uncategorized,Unclassified,none
